team_name,ppg,to_pg,ld_cr,rz_apg,rz_cr,dppg,ta_pg,dld_cr,drz_apg,drz_cr
New Orleans Saints,27.0,0.5714285714285714,0.430939226519337,3.642857142857143,0.5490196078431373,21.642857142857142,1.3571428571428572,0.35960591133004927,3.0714285714285716,0.6046511627906976
Pittsburgh Steelers,19.214285714285715,1.8571428571428572,0.33516483516483514,2.642857142857143,0.35135135135135137,18.5,2.5,0.37244897959183676,3.0,0.5238095238095238
New England Patriots,26.571428571428573,0.8571428571428571,0.3778801843317972,3.7857142857142856,0.49056603773584906,12.928571428571429,2.5714285714285716,0.24607329842931938,1.5714285714285714,0.5
Tampa Bay Buccaneers,29.714285714285715,2.357142857142857,0.4251207729468599,3.5714285714285716,0.64,28.428571428571427,1.7857142857142858,0.3588516746411483,3.642857142857143,0.5686274509803921
Philadelphia Eagles,23.857142857142858,1.6428571428571428,0.45701357466063347,3.357142857142857,0.6595744680851063,23.428571428571427,1.2142857142857142,0.37433155080213903,2.7857142857142856,0.6153846153846154
Atlanta Falcons,23.5,1.5714285714285714,0.4381443298969072,3.5714285714285716,0.56,26.071428571428573,1.1428571428571428,0.43548387096774194,3.5,0.6122448979591837
Cleveland Browns,21.214285714285715,1.7142857142857142,0.37433155080213903,3.2857142857142856,0.5652173913043478,23.5,1.2857142857142858,0.34408602150537637,3.4285714285714284,0.5833333333333334
Cincinnati Bengals,15.071428571428571,2.0,0.3615023474178404,2.857142857142857,0.375,25.642857142857142,0.8571428571428571,0.43915343915343913,3.142857142857143,0.45454545454545453
Los Angeles Chargers,21.357142857142858,2.0714285714285716,0.4530386740331492,3.2857142857142856,0.5,20.714285714285715,0.9285714285714286,0.4426229508196721,2.642857142857143,0.5675675675675675
Oakland Raiders,19.571428571428573,1.1428571428571428,0.45698924731182794,3.2857142857142856,0.5434782608695652,27.571428571428573,1.0,0.46368715083798884,3.642857142857143,0.6666666666666666
Buffalo Bills,20.785714285714285,1.1428571428571428,0.3793103448275862,2.7857142857142856,0.6153846153846154,15.857142857142858,1.5,0.3497536945812808,2.5714285714285716,0.5833333333333334
New York Giants,20.214285714285715,2.2142857142857144,0.37320574162679426,2.642857142857143,0.5675675675675675,27.285714285714285,1.1428571428571428,0.40703517587939697,3.2142857142857144,0.5111111111111111
Detroit Lions,21.714285714285715,1.5714285714285714,0.4182692307692308,2.7142857142857144,0.5789473684210527,26.642857142857142,1.2142857142857142,0.4381443298969072,3.5714285714285716,0.62
